sample_num,row,col,ohc14_dmso,van_dmso,cuma_dmso,parent_strain,strain_num,media,replicate
int,category,category,float,float,float,category,category,category,category
1,A,1,0,0,0,EcN,AJT206,M9,5
2,A,2,0,0,0,EcN,blank,blank,blank
3,A,3,0,0,0,EcN,AJT275_dmso,M9,5
4,A,4,0,0,0,EcN,blank,blank,blank
5,A,5,0,0,0,EcN,AJT276_dmso,M9,5
6,A,6,0,0,0,EcN,blank,blank,blank
7,A,7,0,0,0,EcN,AJT278_dmso,M9,5
8,A,8,0,0,0,EcN,blank,blank,blank
9,B,1,0,0,0,EcN,AJT206,M9,5
10,B,2,0,0,0,EcN,blank,blank,blank
11,B,3,0.01953125,0,0,EcN,AJT275_dmso,M9,5
12,B,4,0,0,0,EcN,blank,blank,blank
13,B,5,0,1.56125,0,EcN,AJT276_dmso,M9,5
14,B,6,0,0,0,EcN,blank,blank,blank
15,B,7,0,0,1.953125,EcN,AJT278_dmso,M9,5
16,B,8,0,0,0,EcN,blank,blank,blank
17,C,1,0,0,0,EcN,AJT206,M9,5
18,C,2,0,0,0,EcN,blank,blank,blank
19,C,3,0.0390625,0,0,EcN,AJT275_dmso,M9,5
20,C,4,0,0,0,EcN,blank,blank,blank
21,C,5,0,6.25,0,EcN,AJT276_dmso,M9,5
22,C,6,0,0,0,EcN,blank,blank,blank
23,C,7,0,0,3.90625,EcN,AJT278_dmso,M9,5
24,C,8,0,0,0,EcN,blank,blank,blank
25,D,1,0,0,0,EcN,AJT206,M9,5
26,D,2,0,0,0,EcN,blank,blank,blank
27,D,3,0.078125,0,0,EcN,AJT275_dmso,M9,5
28,D,4,0,0,0,EcN,blank,blank,blank
29,D,5,0,12.5,0,EcN,AJT276_dmso,M9,5
30,D,6,0,0,0,EcN,blank,blank,blank
31,D,7,0,0,7.8125,EcN,AJT278_dmso,M9,5
32,D,8,0,0,0,EcN,blank,blank,blank
33,E,1,0,0,0,EcN,AJT280,M9,5
34,E,2,0,0,0,EcN,blank,blank,blank
35,E,3,0.15625,0,0,EcN,AJT275_dmso,M9,5
36,E,4,0,0,0,EcN,blank,blank,blank
37,E,5,0,25,0,EcN,AJT276_dmso,M9,5
38,E,6,0,0,0,EcN,blank,blank,blank
39,E,7,0,0,15.625,EcN,AJT278_dmso,M9,5
40,E,8,0,0,0,EcN,blank,blank,blank
41,F,1,0,0,0,EcN,AJT280,M9,5
42,F,2,0,0,0,EcN,blank,blank,blank
43,F,3,0.3125,0,0,EcN,AJT275_dmso,M9,5
44,F,4,0,0,0,EcN,blank,blank,blank
45,F,5,0,50,0,EcN,AJT276_dmso,M9,5
46,F,6,0,0,0,EcN,blank,blank,blank
47,F,7,0,0,31.25,EcN,AJT278_dmso,M9,5
48,F,8,0,0,0,EcN,blank,blank,blank
49,G,1,0,0,0,EcN,AJT280,M9,5
50,G,2,0,0,0,EcN,blank,blank,blank
51,G,3,1.25,0,0,EcN,AJT275_dmso,M9,5
52,G,4,0,0,0,EcN,blank,blank,blank
53,G,5,0,100,0,EcN,AJT276_dmso,M9,5
54,G,6,0,0,0,EcN,blank,blank,blank
55,G,7,0,0,62.5,EcN,AJT278_dmso,M9,5
56,G,8,0,0,0,EcN,blank,blank,blank
57,H,1,0,0,0,EcN,AJT280,M9,5
58,H,2,0,0,0,EcN,blank,blank,blank
59,H,3,10,0,0,EcN,AJT275_dmso,M9,5
60,H,4,0,0,0,EcN,blank,blank,blank
61,H,5,0,200,0,EcN,AJT276_dmso,M9,5
62,H,6,0,0,0,EcN,blank,blank,blank
63,H,7,0,0,500,EcN,AJT278_dmso,M9,5
64,H,8,0,0,0,EcN,blank,blank,blank